,timestamp(ms),acceleration_x(g),acceleration_y(g),acceleration_z(g),roll(rad),pitch(rad),yaw(rad),angular_velocity_x(rad/sec),angular_velocity_y(rad/sec),angular_velocity_z(rad/sec),shake,derived1,derived2,derived8
591,1397019864021,-0.0122,-0.3257,0.0106,0.4916,-1.1557,-2.0796,-0.2728,-0.2728,-0.0649,1.0,0.3485,0.8184,4.44421894874
592,1397019864120,0.0226,-0.2547,-0.2378,0.5327,-1.1756,-2.0436,0.0232,0.0232,0.062,1.0,0.5151,0.0696,4.17123331794
593,1397019864219,-0.013,-0.011,-0.0734,0.5409,-1.1694,-2.0262,-0.0571,-0.0571,0.0983,1.0,0.0974,0.1713,3.93906479662
594,1397019864317,0.1477,0.1674,-0.1383,0.5663,-1.1765,-1.9935,-0.2442,-0.2442,0.0934,1.0,0.4534,0.7326,4.35666984136
595,1397019864416,-0.056,-0.1703,-0.2276,0.569,-1.172,-1.9753,0.2143,0.2143,0.0577,1.0,0.4539,0.6429,4.31453350447
596,1397019864514,-0.0687,-0.1973,-0.0147,0.5252,-1.1505,-2.0059,0.1809,0.1809,-0.0145,1.0,0.2807,0.5427,4.1472769406
597,1397019864612,0.0139,0.0263,-0.1945,0.5023,-1.1351,-2.0298,0.286,0.286,-0.0182,1.0,0.2347,0.858,4.26883600873
598,1397019864711,0.0591,0.0325,-0.0251,0.4805,-1.1138,-2.0561,0.1671,0.1671,0.0112,1.0,0.1167,0.5013,3.95894610151
599,1397019864809,0.048,0.0652,-0.2502,0.4618,-1.0983,-2.08,0.3233,0.3233,-0.0557,1.0,0.3634,0.9699,4.36366909491
600,1397019864907,0.0478,-0.0396,-0.0546,0.4114,-1.0678,-2.1167,0.3272,0.3272,0.0108,1.0,0.142,0.9816,4.14142567335
601,1397019865006,-0.0034,-0.1819,0.0699,0.3785,-1.0405,-2.1347,0.218,0.218,0.0366,1.0,0.2552,0.654,4.0590613307
602,1397019865104,0.076,-0.014,0.0332,0.3861,-1.0319,-2.1198,-0.0796,-0.0796,0.1611,1.0,0.1232,0.2388,3.8184422898
603,1397019865203,0.0093,-0.0603,-0.0031,0.4198,-1.036,-2.0761,-0.1526,-0.1526,0.1956,1.0,0.0727,0.4578,3.88425249775
604,1397019865301,0.0228,-0.2192,0.3418,0.5097,-1.0862,-1.9675,-1.1257,-1.1257,0.3089,1.0,0.5838,3.3771,5.59176076145
605,1397019865400,0.2864,0.6301,-0.9798,0.5876,-1.1016,-1.9152,0.003,0.003,0.0765,1.0,1.8963,0.009,4.88062541349
606,1397019865498,-0.1359,-0.3679,0.3027,0.5701,-1.118,-1.8887,-0.2613,-0.2613,-0.0775,1.0,0.8065,0.7839,4.44979892859
607,1397019865597,0.004,-0.2971,0.1139,0.6318,-1.1533,-1.8348,-0.5059,-0.5059,-0.0119,1.0,0.415,1.5177,4.65365962494
608,1397019865695,-0.1326,-0.3861,-0.1315,0.6977,-1.1881,-1.7698,-0.0968,-0.0968,-0.0901,1.0,0.6502,0.2904,4.24837745151
609,1397019865794,0.3888,1.082,0.0059,0.7211,-1.2112,-1.7483,-0.9049,-0.9049,0.0494,1.0,1.4767,2.7147,6.11102461714
610,1397019865892,0.0043,-0.1472,-0.5506,0.7431,-1.2403,-1.7703,0.5225,0.5225,-0.3443,1.0,0.7021,1.5675,5.13885565764
611,1397019865991,-0.0433,-0.5756,0.1863,0.6041,-1.2248,-1.905,0.1044,0.1044,-0.1544,1.0,0.8052,0.3132,4.55407661863
612,1397019866089,-0.0044,-0.4396,0.2616,0.6045,-1.2529,-1.8857,-0.2594,-0.2594,-0.0246,1.0,0.7056,0.7782,4.62233914091
613,1397019866187,0.3441,0.9343,-1.0329,0.6737,-1.257,-1.8538,0.1163,0.1163,0.0098,1.0,2.3113,0.3489,5.38390884707
614,1397019866286,0.0611,-0.095,-0.1386,0.6209,-1.2399,-1.8755,0.1859,0.1859,0.056,1.0,0.2947,0.5577,4.18389678333
615,1397019866384,0.0931,0.0045,-0.1186,0.6028,-1.2273,-1.8685,0.0581,0.0581,0.1459,1.0,0.2162,0.1743,4.01688929704
830,1397019887549,-0.0301,-0.1451,0.1231,0.3921,-1.0271,3.0533,-0.1719,-0.1719,0.113,1.0,0.2983,0.5157,4.93323146862
831,1397019887647,-0.0041,-0.1642,-0.2643,0.4599,-1.0485,-3.1399,-0.2496,-0.2496,0.3881,1.0,0.4326,0.7488,5.48409589917
832,1397019887746,-0.127,-0.1945,0.0106,0.4847,-1.0401,-3.0528,0.3236,0.3236,0.3634,1.0,0.3321,0.9708,5.39450746467
833,1397019887844,-0.1395,-0.7402,0.6243,0.4251,-0.9974,-3.0273,0.0951,0.0951,0.4248,1.0,1.504,0.2853,5.87370005255
834,1397019887942,0.9738,1.1985,0.4357,0.5392,-1.0041,-2.8727,-2.2133,-2.2133,1.1626,1.0,2.608,6.6399,9.35954877766
835,1397019888041,-0.2265,-0.4,0.573,0.5179,-0.9819,-2.841,0.1934,0.1934,0.1538,1.0,1.1995,0.5802,5.38918182793
836,1397019888139,-0.2396,-0.658,0.458,0.4418,-0.9351,-2.8762,0.0565,0.0565,0.0523,1.0,1.3556,0.1695,5.18533898533
4249,1397020224124,1.0185,1.1727,0.1499,0.4851,-1.0514,2.5536,-5.5632,-5.5632,0.7133,1.0,2.3411,16.6896,13.550382542
4250,1397020224222,-0.1821,-0.4712,0.3848,0.4982,-1.0159,2.4704,-0.3767,-0.3767,0.1628,1.0,1.0381,1.1301,5.17658267307
4251,1397020224320,-0.1835,-0.1523,-0.2861,0.5036,-1.0343,2.5363,0.6967,0.6967,0.1061,1.0,0.6219,2.0901,5.43763114996
4729,1397020271377,0.0616,0.0147,-0.2715,0.6526,-1.2895,-1.6728,0.1419,0.1419,-0.336,1.0,0.3478,0.4257,4.28505411
4730,1397020271475,-0.011,-0.5294,-0.0816,0.5907,-1.2657,-1.7738,0.199,0.199,0.2336,1.0,0.622,0.597,4.5317119249
4731,1397020271573,0.3744,0.483,-0.8201,0.6746,-1.2267,-1.6685,1.1388,1.1388,0.7135,1.0,1.6775,3.4164,6.35403566378
4732,1397020271672,0.2329,-0.2928,-0.7003,0.7745,-1.2021,-1.423,0.2271,0.2271,0.8498,1.0,1.226,0.6813,5.10203887746
4733,1397020271770,-0.1844,-0.6187,0.0782,0.6925,-1.1065,-1.4023,0.4294,0.4294,0.9506,1.0,0.8813,1.2882,4.97962511036
4734,1397020271869,-0.2064,0.3114,-0.1061,0.6727,-1.0511,-1.3159,0.1589,0.1589,0.4386,1.0,0.6239,0.4767,3.92088275568
5558,1397020352988,0.2627,1.2821,-0.5201,0.4004,-0.8273,0.9584,2.8522,2.8522,-1.0925,1.0,2.0649,8.5566,7.77334805184
5559,1397020353086,-0.2197,-0.7359,0.6047,0.4162,-0.7411,0.8238,-0.0667,-0.0667,-0.3281,1.0,1.5603,0.2001,3.29997643389
5560,1397020353185,0.5567,0.4468,-0.5173,0.4051,-0.6323,0.7595,0.7985,0.7985,-0.0949,1.0,1.5208,2.3955,3.81168807271
5561,1397020353283,-0.0542,0.0128,0.1021,0.3481,-0.6564,0.7714,-0.169,-0.169,-0.3312,1.0,0.1691,0.507,2.30063131904
18,1396949162251,-6.0785,0.2455,-0.565,-0.9304,0.8622,-1.4077,-8.1388,-8.1388,6.9568,1.0,6.889,24.4164,22.7589957854
19,1396949162349,4.5836,1.8936,2.0273,-0.5557,1.2971,-1.9008,5.8056,5.8056,-3.9327,1.0,8.5045,17.4168,18.2149416881
20,1396949162448,-3.8897,0.7177,-2.8416,-0.7017,0.3868,-1.3662,-9.648,-9.648,3.5539,1.0,7.449,28.944,21.4245469903
21,1396949162548,0.2091,-0.0161,0.5511,-0.4392,0.4111,-1.4308,-0.1592,-0.1592,-0.5926,1.0,0.7763,0.4776,3.50468265109
22,1396949162647,-0.1267,0.0399,0.0318,-0.395,0.3875,-1.4256,0.3401,0.3401,-0.0692,1.0,0.1984,1.0203,2.83061408052
23,1396949162747,-0.0827,0.0404,-0.0593,-0.3996,0.3805,-1.422,0.0953,0.0953,-0.1255,1.0,0.1824,0.2859,2.49574816027
42,1396949164633,-2.0709,-0.3463,-0.9519,-0.6905,1.0184,-1.9055,4.6081,4.6081,-7.6945,1.0,3.3691,13.8243,16.0031330112
43,1396949164732,0.2511,1.3466,0.0739,1.3382,1.284,2.2378,-0.4168,-0.4168,0.4965,1.0,1.6716,1.2504,7.00248906843
44,1396949164831,0.5553,2.2644,0.0688,-1.0897,0.8383,-1.5998,-1.9399,-1.9399,2.1054,1.0,2.8885,5.8197,9.31850710754
45,1396949164931,-0.1544,0.9486,-0.9866,-0.9031,1.396,-1.812,-0.4591,-0.4591,2.7136,1.0,2.0896,1.3773,8.27863018533
46,1396949165030,-2.9689,1.4438,0.9379,-0.8206,0.3916,-1.4468,-6.0599,-6.0599,0.0045,1.0,5.3506,18.1797,14.6609878379
47,1396949165129,0.2223,0.1809,0.8775,-0.6747,0.5616,-1.4699,-1.0064,-1.0064,-0.2043,1.0,1.2807,3.0192,5.06717152487
48,1396949165229,-0.0726,0.0354,0.0783,-0.7205,0.4932,-1.4891,-0.6477,-0.6477,-0.1466,1.0,0.1863,1.9431,3.74293692567
60,1396949166421,-1.7573,-0.238,-1.0681,-0.8324,0.7025,-1.6096,3.357,3.357,-5.5475,1.0,3.0634,10.071,12.5162854025
61,1396949166520,0.1024,1.1049,0.155,0.9179,1.5187,2.6119,2.6145,2.6145,-6.9416,1.0,1.3623,7.8435,14.0338324026
62,1396949166620,4.0773,2.6705,-0.3816,-0.5685,1.3845,-2.0381,-2.8097,-2.8097,12.4302,1.0,7.1294,8.4291,21.9298770047
63,1396949166719,-4.6272,-0.1228,-3.3573,-1.1377,0.846,-1.514,3.3626,3.3626,-8.6877,1.0,8.1073,10.0878,19.1199289539
64,1396949166818,5.417,2.082,0.7747,-0.8144,1.4165,-1.8313,-1.3164,-1.3164,6.2239,1.0,8.2737,3.9492,16.4133719912
65,1396949166917,-6.0636,0.4357,-1.8715,-0.8873,0.42,-1.4738,-2.2139,-2.2139,-4.3319,1.0,8.3708,6.6417,14.4867955675
66,1396949167017,0.6821,0.1588,0.7649,-0.7448,0.6608,-1.4671,-0.5644,-0.5644,0.148,1.0,1.6058,1.6932,4.72157456113
67,1396949167116,-0.2275,0.0342,0.1811,-0.7192,0.5748,-1.426,-0.7711,-0.7711,0.2963,1.0,0.4428,2.3133,4.14282229096
83,1396949168705,4.6365,2.1824,-0.2092,-0.4052,1.4838,-2.3173,-1.3606,-1.3606,13.3481,1.0,7.0281,4.0818,22.8210955068
84,1396949168805,-7.1986,-0.3824,-2.03,-1.1585,0.8954,-1.5687,2.9297,2.9297,-9.0951,1.0,9.611,8.7891,21.1060783776
85,1396949168905,2.9217,1.7011,0.1367,-0.3606,1.4658,-2.3301,0.169,0.169,4.6713,1.0,4.7595,0.507,12.2175116299
86,1396949169003,-6.9395,0.5953,1.0609,-1.1118,0.5273,-1.3435,-4.3301,-4.3301,-3.8721,1.0,8.5957,12.9903,17.2731051713
87,1396949169102,0.7363,0.2038,0.5053,-0.7864,0.7594,-1.4697,-1.1086,-1.1086,0.0333,1.0,1.4454,3.3258,5.49962031314
88,1396949169202,-0.037,0.0046,0.2667,-0.471,0.5734,-1.4841,-1.6028,-1.6028,0.867,1.0,0.3083,4.8084,5.22464850771
105,1396949170890,-1.1081,-0.0944,-1.2767,-0.4847,0.3927,-1.577,0.8758,0.8758,0.2915,1.0,2.4792,2.6274,5.41995942214
106,1396949170990,-0.1695,-0.121,-0.2032,-0.439,0.3357,-1.5849,0.3945,0.3945,-0.2119,1.0,0.4937,1.1835,3.24735966437
107,1396949171088,-0.0475,0.0042,-0.0299,-0.4452,0.3517,-1.5662,0.0234,0.0234,-0.0547,1.0,0.0816,0.0702,2.48331539202
207,1396949181021,2.1419,0.8235,1.7994,2.9846,1.2557,0.6363,-7.8674,-7.8674,4.3175,1.0,4.7648,23.6022,19.7272354352
208,1396949181120,-1.4462,0.0676,-3.9291,-0.3753,0.7639,-1.8768,7.7971,7.7971,-3.432,1.0,5.4429,23.3913,18.7518622836
209,1396949181220,1.0895,0.7256,1.2212,-1.7224,1.4376,-0.7005,-2.3491,-2.3491,1.1989,1.0,3.0363,7.0473,9.18254658986
235,1396949183802,1.0413,2.0244,-3.4757,-0.0398,0.8126,-1.9926,-18.3321,-18.3321,2.7971,1.0,6.5414,54.9963,33.075832937
236,1396949183901,-0.2904,-0.0516,-0.3926,-0.143,0.6003,-1.8025,1.6344,1.6344,1.7336,1.0,0.7346,4.9032,5.92612188359
237,1396949184001,-0.1324,0.0502,0.3069,-0.1679,0.7269,-1.7417,-0.2107,-0.2107,-0.2481,1.0,0.4895,0.6321,3.3622306155
269,1396949187179,-1.0795,-0.0308,-0.9087,0.1479,1.1561,-2.2429,1.3131,1.3131,-3.33,1.0,2.019,3.9393,8.77107335137
270,1396949187278,1.7619,0.7038,0.6945,-0.2606,0.7951,-1.6354,-3.1245,-3.1245,4.2229,1.0,3.1602,9.3735,10.8235948799
271,1396949187377,-0.1034,-0.2323,-0.3645,-0.2262,0.8106,-1.6369,-0.1024,-0.1024,-0.2958,1.0,0.7002,0.3072,3.44747327455
272,1396949187477,0.1457,0.086,0.0237,-0.1939,0.7751,-1.6767,-0.2756,-0.2756,0.1829,1.0,0.2554,0.8268,3.24707781886
273,1396949187576,-0.0296,-0.0032,-0.1295,-0.1937,0.7303,-1.6639,-0.397,-0.397,0.1369,1.0,0.1623,1.191,3.29867071398
285,1396949188769,2.7287,0.8296,0.3002,-0.1731,0.8767,-1.7187,-1.4144,-1.4144,10.1514,1.0,3.8585,4.2432,15.9828721251
286,1396949188867,-2.1642,-0.4839,-1.4588,-0.12,0.7834,-1.5878,2.7982,2.7982,-4.9528,1.0,4.1069,8.3946,11.48519791
287,1396949188966,2.4603,0.6232,0.9968,-0.0786,0.7261,-1.7009,-3.3132,-3.3132,6.9997,1.0,4.0803,9.9396,13.6555368431
288,1396949189066,-1.0592,-0.3142,-0.8896,-0.2065,0.6414,-1.4183,1.3344,1.3344,-0.3472,1.0,2.263,4.0032,5.60345524002
311,1396949191350,-3.7724,0.0721,-2.4266,-0.1508,0.6361,-1.3366,4.3012,4.3012,-5.3287,1.0,6.2711,12.9036,14.6963036162
312,1396949191450,1.3861,0.5898,0.8162,-0.137,0.6852,-1.484,-6.0702,-6.0702,8.525,1.0,2.7921,18.2106,16.1178360812
313,1396949191549,-3.7524,0.6434,-3.7981,-0.1594,0.4174,-1.0975,3.7215,3.7215,-1.2263,1.0,8.1939,11.1645,12.4560090364
314,1396949191648,-0.3919,0.1157,0.3878,-0.0141,0.5402,-1.2971,-0.8416,-0.8416,-2.1275,1.0,0.8954,2.5248,4.85254151957
315,1396949191747,0.2651,0.1472,0.0753,0.0315,0.4045,-1.3648,-0.9406,-0.9406,-0.1914,1.0,0.4876,2.8218,3.45714422936
384,1396949198600,3.4582,1.1978,1.5753,-2.6329,1.3048,-0.0281,-12.1767,-12.1767,7.9208,1.0,6.2313,36.5301,26.9049649091
385,1396949198700,-3.1109,0.9753,-3.4213,-1.1845,0.9319,-1.4523,13.9719,13.9719,-8.7859,1.0,7.5075,41.9157,29.9191311273
386,1396949198799,2.6296,0.9008,1.7998,-1.5207,1.2164,-0.9595,-9.7032,-9.7032,5.0403,1.0,5.3302,29.1096,21.6268047732
387,1396949198898,-1.3614,0.4722,-3.7261,-0.2978,0.3902,-1.5831,10.5688,10.5688,-2.8698,1.0,5.5597,31.7064,21.4856762387
388,1396949198998,0.0492,0.0017,0.62,-0.505,0.7022,-1.4367,-1.8979,-1.8979,0.1706,1.0,0.6709,5.6937,5.95530359694
389,1396949199097,-0.038,0.0196,0.1951,-0.4539,0.6573,-1.4673,-0.8721,-0.8721,-0.1621,1.0,0.2527,2.6163,4.02217285831
397,1396949199891,2.5046,0.6078,2.7226,-1.5702,1.1431,-0.8685,-12.9244,-12.9244,4.7002,1.0,5.835,38.7732,26.2033215401
398,1396949199991,-2.7931,0.9056,-5.8781,-0.6312,0.3429,-1.5719,13.5091,13.5091,-7.6978,1.0,9.5768,40.5273,29.713934297
399,1396949200090,2.3555,0.5642,2.1012,-1.6842,1.1768,-0.8054,-2.5511,-2.5511,1.4441,1.0,5.0209,7.6533,10.7589995526
400,1396949200189,-0.3994,1.1508,-4.078,-0.0084,0.1162,-1.3897,1.3382,1.3382,0.932,1.0,5.6282,4.0146,7.87989361198
417,1396949201878,-1.9417,-0.4984,-0.0753,-0.0784,0.2685,0.3844,-2.3111,-2.3111,-4.7437,1.0,2.5154,6.9333,8.49800590343
418,1396949201977,-0.0687,-0.0396,0.4437,0.6525,-0.0402,-0.1207,0.584,0.584,-4.2816,1.0,0.552,1.752,5.62465870977
419,1396949202076,0.005,0.1735,0.3691,0.4295,-0.296,-0.4079,-1.8054,-1.8054,-2.9256,1.0,0.5476,5.4162,5.42432458795
420,1396949202176,0.1901,0.363,-0.0178,0.192,-0.4602,-0.5144,-0.2859,-0.2859,-0.1084,1.0,0.5709,0.8577,1.99535366046
421,1396949202275,-0.1093,0.1131,0.1064,0.0507,-0.4332,-0.4012,0.2162,0.2162,1.0421,1.0,0.3288,0.6486,2.16102045046
422,1396949202374,0.062,0.114,0.0667,-0.0845,-0.4643,-0.3996,-0.9889,-0.9889,-0.801,1.0,0.2427,2.9667,2.70596696183
423,1396949202474,0.1875,0.1614,-0.1747,-0.1844,-0.5181,-0.4569,0.1186,0.1186,0.2679,1.0,0.5236,0.3558,1.77833679907
424,1396949202573,-0.3615,-0.0523,0.0321,-0.1709,-0.4885,-0.4238,0.3772,0.3772,-0.52,1.0,0.4459,1.1316,2.19482760672
425,1396949202672,-0.003,0.0307,0.0851,-0.2663,-0.4838,-0.5787,-1.1292,-1.1292,-1.8861,1.0,0.1188,3.3876,3.89066545893
426,1396949202772,0.3692,0.1567,-0.3779,-0.3975,-0.5462,-0.821,-0.702,-0.702,-1.3278,1.0,0.9038,2.106,3.97367294418
427,1396949202871,0.2381,-0.115,-0.3059,-0.4071,-0.552,-0.8439,0.4493,0.4493,0.5,1.0,0.659,1.3479,3.01588322618
428,1396949202970,0.0904,-0.1281,-0.0044,-0.3739,-0.4885,-0.7813,0.7022,0.7022,0.1882,1.0,0.2229,2.1066,2.81128429403
429,1396949203070,0.0874,-0.0504,-0.0049,-0.3688,-0.4513,-0.7344,0.5768,0.5768,0.31,1.0,0.1427,1.7304,2.52814721077
430,1396949203169,-0.0448,0.0311,0.0136,-0.3576,-0.408,-0.6853,0.3712,0.3712,-0.0721,1.0,0.0895,1.1136,2.03699107332
431,1396949203268,-0.029,0.0866,0.0094,-0.3265,-0.3904,-0.6936,0.0312,0.0312,-0.1591,1.0,0.125,0.0936,1.66741423762
432,1396949203368,-0.0629,0.0068,0.079,-0.2817,-0.3856,-0.7137,-0.1042,-0.1042,-0.3908,1.0,0.1487,0.3126,1.89987097154
433,1396949203467,0.0073,-0.0371,0.086,-0.2689,-0.4107,-0.8101,-0.5123,-0.5123,-0.9374,1.0,0.1304,1.5369,2.76839046055
434,1396949203566,0.1995,0.0456,-0.0294,-0.2897,-0.4258,-0.9187,-0.4429,-0.4429,-0.7564,1.0,0.2745,1.3287,2.82301629894
435,1396949203666,0.249,0.0995,-0.1504,-0.3076,-0.4295,-0.9691,0.2743,0.2743,-0.1446,1.0,0.4989,0.8229,2.42763626702
436,1396949203765,0.1839,0.1,-0.0276,-0.286,-0.3925,-0.959,0.4718,0.4718,0.0627,1.0,0.3115,1.4154,2.51880754075
437,1396949203864,0.0979,0.1467,0.1125,-0.2396,-0.3372,-0.9225,0.4957,0.4957,0.2853,1.0,0.3571,1.4871,2.46534997896
438,1396949203964,0.0278,0.0793,0.1079,-0.2053,-0.3387,-0.8876,0.0391,0.0391,0.315,1.0,0.215,0.1173,1.88817815858
439,1396949204063,0.0324,0.0415,-0.1355,-0.207,-0.3591,-0.8609,0.3422,0.3422,0.3157,1.0,0.2094,1.0266,2.15018265723
440,1396949204162,0.2,0.0416,-0.2494,-0.2696,-0.2846,-0.8456,1.3329,1.3329,0.1077,1.0,0.491,3.9987,3.61026266476
441,1396949204262,0.1572,0.0586,-0.4236,-0.4685,-0.0574,-0.7688,3.7759,3.7759,-0.6217,1.0,0.6394,11.3277,7.12631032609
442,1396949204361,0.2025,0.0274,0.391,-0.5773,0.2688,-0.6979,1.016,1.016,-1.0333,1.0,0.6209,3.048,3.75498613058
443,1396949204461,-0.0242,0.0311,-0.1955,-0.5121,0.3349,-0.7812,1.4767,1.4767,-0.9712,1.0,0.2508,4.4301,4.13078526427
444,1396949204560,-0.1356,0.2551,-0.0661,-0.8151,0.7871,-0.6666,3.174,3.174,-3.3713,1.0,0.4568,9.522,8.17891799042
445,1396949204659,0.4925,0.1794,0.1536,-0.8053,0.9844,-0.8664,-0.7469,-0.7469,-0.5697,1.0,0.8255,2.2407,4.40241474386
446,1396949204758,-0.0978,0.2673,-0.2681,-0.7518,1.0828,-0.8537,1.1216,1.1216,-2.0055,1.0,0.6332,3.3648,5.63626570243
447,1396949204858,0.7436,-0.5178,-0.2646,-0.5051,1.2027,-1.1484,1.2397,1.2397,-1.0028,1.0,1.526,3.7191,5.81989821075
448,1396949204957,-0.7387,0.2047,-0.8491,2.3366,1.131,2.1425,8.0528,8.0528,-7.6341,1.0,1.7925,24.1584,20.4644040212
449,1396949205056,0.4947,0.4123,0.4184,2.2547,0.4777,2.1304,-3.439,-3.439,2.2951,1.0,1.3254,10.317,11.0085879724
450,1396949205155,0.5942,3.3486,1.51,-0.007,0.7283,-1.3522,-17.8735,-17.8735,7.0013,1.0,5.4528,53.6205,32.0372134751
451,1396949205255,-0.5991,2.815,-1.4651,2.071,0.8612,2.2915,12.5726,12.5726,-11.7957,1.0,4.8792,37.7178,29.7904687457
452,1396949205354,2.176,3.0686,2.8311,0.1788,1.2087,-1.5794,-28.1708,-28.1708,13.0062,1.0,8.0757,84.5124,49.5838414978
453,1396949205453,-0.4339,3.5107,-3.6717,-0.2808,1.3514,-1.1266,21.5535,21.5535,-5.2159,1.0,7.6163,64.6605,38.781596417
454,1396949205553,-0.0813,0.6795,0.9825,-0.0967,0.7413,-0.7619,-10.0886,-10.0886,-0.8578,1.0,1.7433,30.2658,17.0904438855
455,1396949205652,0.0223,0.0948,0.3634,-0.0736,0.7376,-0.7875,-1.6389,-1.6389,0.1837,1.0,0.4805,4.9167,4.29994622603
468,1396949206943,-0.3003,1.278,0.1076,1.7969,0.4161,3.034,-1.576,-1.576,0.8155,1.0,1.6859,4.728,8.93751816542
469,1396949207043,1.8384,6.0506,1.1733,-0.6217,1.0486,-0.5445,-14.113,-14.113,29.8347,1.0,9.0623,42.339,44.541613803
470,1396949207142,-0.9941,0.2264,-1.0687,-0.5952,0.3958,-0.4672,1.3576,1.3576,0.8978,1.0,2.2892,4.0728,5.05470906792
471,1396949207242,0.2784,0.0341,0.5078,-0.5572,0.4801,-0.3797,0.3462,0.3462,0.5627,1.0,0.8203,1.0386,2.7429943813
472,1396949207340,0.05,0.1661,0.1545,-0.5223,0.4503,-0.3857,-0.7851,-0.7851,0.3174,1.0,0.3706,2.3553,2.74536739675
481,1396949208234,1.397,6.8578,2.3908,0.0716,1.3052,-1.3815,-18.3123,-18.3123,23.7986,1.0,10.6456,54.9369,45.3258177491
482,1396949208334,-6.2904,5.1667,-7.1872,-0.3772,0.4407,-0.675,4.6755,4.6755,0.8365,1.0,18.6443,14.0265,19.0168447872
483,1396949208433,0.041,-0.0434,-0.4403,-0.2997,0.5033,-0.5235,0.0598,0.0598,0.5819,1.0,0.5247,0.1794,2.35884278028
484,1396949208532,-0.0232,0.0357,-0.0189,-0.2609,0.3826,-0.5399,-0.1981,-0.1981,-0.0696,1.0,0.0778,0.5943,1.51865436609
